categoria,ano,mes,vitimas,municipio,regiao
FEMINICIDIO,2026,1,1,Alcobaça,Interior
FEMINICIDIO,2023,1,1,Apora,Interior
FEMINICIDIO,2025,1,1,Barreiras,Interior
FEMINICIDIO,2025,1,1,Caetite,Interior
FEMINICIDIO,2025,1,1,Camaçari,RMS
FEMINICIDIO,2026,1,1,Catolandia,Interior
FEMINICIDIO,2023,1,1,Curaça,Interior
FEMINICIDIO,2023,1,1,Encruzilhada,Interior
FEMINICIDIO,2023,1,1,Entre Rios,Interior
FEMINICIDIO,2025,1,1,Eunapolis,Interior
FEMINICIDIO,2025,1,1,Feira de Santana,Interior
FEMINICIDIO,2026,1,1,Feira de Santana,Interior
FEMINICIDIO,2026,1,1,Iguai,Interior
FEMINICIDIO,2026,1,1,Itabela,Interior
FEMINICIDIO,2025,1,1,Itabuna,Interior
FEMINICIDIO,2024,1,1,Lauro de Freitas,RMS
FEMINICIDIO,2025,1,1,Luis Eduardo Magalhaes,Interior
FEMINICIDIO,2023,1,1,Macaubas,Interior
FEMINICIDIO,2024,1,1,Morpara,Interior
FEMINICIDIO,2026,1,1,Nazare,Interior
FEMINICIDIO,2026,1,1,Nova Viçosa,Interior
FEMINICIDIO,2024,1,1,Planalto,Interior
FEMINICIDIO,2026,1,1,Porto Seguro,Interior
FEMINICIDIO,2023,1,1,Porto Seguro,Interior
FEMINICIDIO,2024,1,1,Porto Seguro,Interior
FEMINICIDIO,2026,1,2,Remanso,Interior
FEMINICIDIO,2024,1,1,Ribeirao do Largo,Interior
FEMINICIDIO,2025,1,1,Salvador,Salvador
FEMINICIDIO,2023,1,1,Santa Cruz Cabralia,Interior
FEMINICIDIO,2024,1,1,Sao Francisco do Conde,RMS
FEMINICIDIO,2023,1,1,Valença,Interior
FEMINICIDIO,2024,1,1,Vera Cruz,RMS
FEMINICIDIO,2023,2,1,Acajutiba,Interior
FEMINICIDIO,2024,2,1,Alagoinhas,Interior
FEMINICIDIO,2023,2,1,America Dourada,Interior
FEMINICIDIO,2025,2,1,Aramari,Interior
FEMINICIDIO,2024,2,1,Belmonte,Interior
FEMINICIDIO,2024,2,1,Bom Jesus da Serra,Interior
FEMINICIDIO,2024,2,1,Camacan,Interior
FEMINICIDIO,2023,2,1,Curaça,Interior
FEMINICIDIO,2025,2,1,Feira de Santana,Interior
FEMINICIDIO,2026,2,2,Feira de Santana,Interior
FEMINICIDIO,2023,2,1,Gandu,Interior
FEMINICIDIO,2026,2,1,Ipira,Interior
FEMINICIDIO,2025,2,1,Itacare,Interior
FEMINICIDIO,2025,2,1,Itamaraju,Interior
FEMINICIDIO,2024,2,1,Maracas,Interior
FEMINICIDIO,2024,2,1,Marcionilio Souza,Interior
FEMINICIDIO,2026,2,1,Morro do Chapeu,Interior
FEMINICIDIO,2025,2,1,Nova Ibia,Interior
FEMINICIDIO,2024,2,1,Nova Viçosa,Interior
FEMINICIDIO,2026,2,1,Ourolandia,Interior
FEMINICIDIO,2023,2,1,Paulo Afonso,Interior
FEMINICIDIO,2026,2,1,Salvador,Salvador
FEMINICIDIO,2024,2,2,Salvador,Salvador
